txn_id,customer_id,amount,timestamp,card_type,card_last4,is_recurring,attempt_number,card_updated,hour_of_day,day_of_month,customer_past_failure_count,customer_past_failure_reasons_distribution,failure_reason
b6a02269-5b7f-578d-a19f-7216bd36bbc9,cust_00000,7290.65,2026-01-01T00:18:03,UPI,7270,true,1.0,false,0.0,1.0,0.0,{},expired_card
e61396da-7301-56bd-8aaf-2fa2a75f1255,cust_00000,13988.65,2026-01-01T04:14:28,credit,7270,false,1.0,false,4.0,1.0,1.0,"{""expired_card"":1.0}",issuer_decline
86ac181e-e5a3-510f-a53e-8c3f89e7ec6c,cust_00000,565.2,2026-01-01T05:22:21,UPI,7270,true,1.0,false,5.0,1.0,2.0,"{""expired_card"":0.5,""issuer_decline"":0.5}",expired_card
585fa202-88e6-5711-9ce2-fd98f828cbfd,cust_00000,2241.36,2026-01-01T07:13:39,credit,7270,true,1.0,false,7.0,1.0,3.0,"{""expired_card"":0.666667,""issuer_decline"":0.333333}",expired_card
510dd396-8c89-5f7b-bc09-91532727e44d,cust_00000,1040.08,2026-01-01T12:00:13,debit,7270,true,1.0,false,12.0,1.0,4.0,"{""expired_card"":0.75,""issuer_decline"":0.25}",expired_card
051795b1-8011-5f57-a2cb-337e000bc37b,cust_00000,1031.98,2026-01-01T12:07:07,credit,7270,false,2.0,false,12.0,1.0,5.0,"{""expired_card"":0.8,""issuer_decline"":0.2}",insufficient_funds
1fc50692-8622-57c0-806b-be335685404e,cust_00000,2427.2,2026-01-01T12:10:29,credit,7270,true,2.0,false,12.0,1.0,6.0,"{""expired_card"":0.666667,""insufficient_funds"":0.166667,""issuer_decline"":0.166667}",expired_card
38e92f68-c295-5a5f-9453-94909d38edfd,cust_00000,477.29,2026-01-01T12:13:20,credit,7270,false,1.0,false,12.0,1.0,7.0,"{""expired_card"":0.714286,""insufficient_funds"":0.142857,""issuer_decline"":0.142857}",bank_timeout
c80256c0-4dcd-5e6a-a778-482535668e14,cust_00000,9265.59,2026-01-01T12:19:36,UPI,7270,true,2.0,false,12.0,1.0,8.0,"{""bank_timeout"":0.125,""expired_card"":0.625,""insufficient_funds"":0.125,""issuer_decline"":0.125}",expired_card
85a85ca6-3863-5199-8541-7974610ae4eb,cust_00000,441.64,2026-01-01T12:27:02,debit,7270,false,1.0,false,12.0,1.0,9.0,"{""bank_timeout"":0.111111,""expired_card"":0.666667,""insufficient_funds"":0.111111,""issuer_decline"":0.111111}",bank_timeout
10898517-5c2c-55e9-891b-3b03d414cc7a,cust_00000,698.78,2026-01-01T12:45:20,debit,7270,false,1.0,false,12.0,1.0,10.0,"{""bank_timeout"":0.2,""expired_card"":0.6,""insufficient_funds"":0.1,""issuer_decline"":0.1}",bank_timeout
de65e45a-76be-5e64-90e7-0df92d0e0d6c,cust_00000,1849.51,2026-01-01T13:16:21,UPI,7270,false,1.0,false,13.0,1.0,11.0,"{""bank_timeout"":0.272727,""expired_card"":0.545455,""insufficient_funds"":0.090909,""issuer_decline"":0.090909}",insufficient_funds
cda760b9-d0ab-56a6-af3f-e3c05feff120,cust_00000,490.91,2026-01-01T13:47:16,UPI,7270,true,1.0,false,13.0,1.0,12.0,"{""bank_timeout"":0.25,""expired_card"":0.5,""insufficient_funds"":0.166667,""issuer_decline"":0.083333}",expired_card
bff5d501-e37e-589e-aa71-74721175a54f,cust_00000,5084.99,2026-01-01T13:49:00,debit,7270,false,1.0,false,13.0,1.0,13.0,"{""bank_timeout"":0.230769,""expired_card"":0.538462,""insufficient_funds"":0.153846,""issuer_decline"":0.076923}",bank_timeout
fc1f7e1f-fd5e-517a-8e6b-f8f9c7134463,cust_00000,2573.53,2026-01-01T13:55:15,debit,7270,false,1.0,false,13.0,1.0,14.0,"{""bank_timeout"":0.285714,""expired_card"":0.5,""insufficient_funds"":0.142857,""issuer_decline"":0.071429}",bank_timeout
d0ae0373-7de9-5944-a580-ac51e58e091d,cust_00000,3430.59,2026-01-01T14:39:13,credit,7270,true,2.0,false,14.0,1.0,15.0,"{""bank_timeout"":0.333333,""expired_card"":0.466667,""insufficient_funds"":0.133333,""issuer_decline"":0.066667}",expired_card
9f9c9598-8d09-5b93-b456-5bdc6f66efbb,cust_00000,1799.57,2026-01-01T15:38:20,debit,7270,true,1.0,false,15.0,1.0,16.0,"{""bank_timeout"":0.3125,""expired_card"":0.5,""insufficient_funds"":0.125,""issuer_decline"":0.0625}",expired_card
65735242-b338-5566-a2d8-3c74cc856271,cust_00000,30362.2,2026-01-01T18:55:02,debit,7270,false,1.0,false,18.0,1.0,17.0,"{""bank_timeout"":0.294118,""expired_card"":0.529412,""insufficient_funds"":0.117647,""issuer_decline"":0.058824}",issuer_decline
abb17aae-7530-557b-b22d-bd55c5cea199,cust_00000,1385.98,2026-01-01T19:09:17,debit,7270,false,1.0,false,19.0,1.0,18.0,"{""bank_timeout"":0.277778,""expired_card"":0.5,""insufficient_funds"":0.111111,""issuer_decline"":0.111111}",bank_timeout
eb051fb2-38a7-5366-a947-f5126cba7ecd,cust_00000,1320.99,2026-01-01T19:14:44,debit,7270,false,1.0,false,19.0,1.0,19.0,"{""bank_timeout"":0.315789,""expired_card"":0.473684,""insufficient_funds"":0.105263,""issuer_decline"":0.105263}",bank_timeout
df4019b9-80cb-5fab-a878-29cb56929881,cust_00000,1186.95,2026-01-01T19:44:11,UPI,7270,false,2.0,false,19.0,1.0,20.0,"{""bank_timeout"":0.35,""expired_card"":0.45,""insufficient_funds"":0.1,""issuer_decline"":0.1}",insufficient_funds
36b550ca-af1d-52c6-ba77-7856c09d9187,cust_00000,8979.36,2026-01-01T19:48:08,UPI,7270,false,1.0,false,19.0,1.0,21.0,"{""bank_timeout"":0.333333,""expired_card"":0.428571,""insufficient_funds"":0.142857,""issuer_decline"":0.095238}",insufficient_funds
3e75dffa-740c-58f2-89ac-d7e2999c63de,cust_00000,729.27,2026-01-01T20:16:15,UPI,7270,false,1.0,false,20.0,1.0,22.0,"{""bank_timeout"":0.318182,""expired_card"":0.409091,""insufficient_funds"":0.181818,""issuer_decline"":0.090909}",insufficient_funds
076a128a-ffa3-5f09-89a5-6fb76923aa02,cust_00000,2587.4,2026-01-01T20:25:07,debit,7270,false,1.0,false,20.0,1.0,23.0,"{""bank_timeout"":0.304348,""expired_card"":0.391304,""insufficient_funds"":0.217391,""issuer_decline"":0.086957}",bank_timeout
277fadad-e400-5da0-a651-95a43280daf6,cust_00000,1802.79,2026-01-01T20:47:07,credit,7270,true,2.0,false,20.0,1.0,24.0,"{""bank_timeout"":0.333333,""expired_card"":0.375,""insufficient_funds"":0.208333,""issuer_decline"":0.083333}",expired_card
e1323363-f348-5f43-8fd7-b3e2d9af69b7,cust_00000,5941.34,2026-01-01T21:37:19,UPI,7270,false,1.0,false,21.0,1.0,25.0,"{""bank_timeout"":0.32,""expired_card"":0.4,""insufficient_funds"":0.2,""issuer_decline"":0.08}",insufficient_funds
c09180db-b0e2-59e8-9c61-a9d54a0456fe,cust_00000,22300.4,2026-01-02T01:28:33,credit,7270,false,1.0,false,1.0,2.0,26.0,"{""bank_timeout"":0.307692,""expired_card"":0.384615,""insufficient_funds"":0.230769,""issuer_decline"":0.076923}",issuer_decline
a985722d-2cbe-5b63-934a-1d7f19adf30c,cust_00000,3313.23,2026-01-02T01:38:24,credit,7270,true,1.0,false,1.0,2.0,27.0,"{""bank_timeout"":0.296296,""expired_card"":0.37037,""insufficient_funds"":0.222222,""issuer_decline"":0.111111}",expired_card
b726e3bf-7e0a-51c8-abf8-998fcc34155e,cust_00000,3439.26,2026-01-02T03:27:47,credit,7270,true,1.0,false,3.0,2.0,28.0,"{""bank_timeout"":0.285714,""expired_card"":0.392857,""insufficient_funds"":0.214286,""issuer_decline"":0.107143}",expired_card
e2fa8a9b-381a-5355-a41c-73f82d9e6c47,cust_00000,14042.75,2026-01-02T03:49:16,credit,7270,false,2.0,false,3.0,2.0,29.0,"{""bank_timeout"":0.275862,""expired_card"":0.413793,""insufficient_funds"":0.206897,""issuer_decline"":0.103448}",issuer_decline
d817d7a5-fa7f-5299-9e7b-b1a724a83878,cust_00000,465.02,2026-01-02T03:57:19,UPI,7270,false,2.0,false,3.0,2.0,30.0,"{""bank_timeout"":0.266667,""expired_card"":0.4,""insufficient_funds"":0.2,""issuer_decline"":0.133333}",insufficient_funds
4e5b2452-a6a1-55e4-942d-e8b06abb24f6,cust_00000,3565.52,2026-01-02T10:14:47,UPI,7270,false,1.0,false,10.0,2.0,31.0,"{""bank_timeout"":0.258065,""expired_card"":0.387097,""insufficient_funds"":0.225806,""issuer_decline"":0.129032}",threeds_dropoff
043163c3-c9cf-52f5-9652-59591705531b,cust_00000,706.04,2026-01-02T11:25:30,UPI,7270,false,1.0,false,11.0,2.0,32.0,"{""bank_timeout"":0.25,""expired_card"":0.375,""insufficient_funds"":0.21875,""issuer_decline"":0.125,""threeds_dropoff"":0.03125}",insufficient_funds
